WFKOWL 
N.B: Wdir (wave heading TOWARDS)= N=0deg E=270 deg S= 180 deg W=90deg  

(TOWARDS, +CCW)Current Heading:  -15 to 15 deg

0.1-0.1(m/s),0.261139,0.261139, 
0.1-0.2(m/s),1.131604,1.131604, 
0.2-0.2(m/s),2.600877,2.600877, 
0.2-0.2(m/s),4.076577,4.076577, 
0.2-0.3(m/s),4.021662,4.021662, 
0.3-0.3(m/s),3.127246,3.127246, 
0.3-0.4(m/s),2.527852,2.527852, 
0.4-0.4(m/s),2.323380,2.323380, 
0.4-0.5(m/s),1.780070,1.780070, 
0.5-0.5(m/s),0.737266,0.737266, 
0.5-0.6(m/s),0.126772,0.126772, 
0.6 +,0.000000,0.000000, 
Sum, 22.796235,22.796235, 

All Headings: 

0.0-0.1(m/s),1.974026,1.974026, 
0.1-0.1(m/s),9.934394,9.934394, 
0.1-0.2(m/s),13.444293,13.444293, 
0.2-0.2(m/s),12.993872,12.993872, 
0.2-0.2(m/s),13.456561,13.456561, 
0.2-0.3(m/s),11.598208,11.598208, 
0.3-0.3(m/s),9.669165,9.669165, 
0.3-0.4(m/s),8.918463,8.918463, 
0.4-0.4(m/s),8.584298,8.584298, 
0.4-0.5(m/s),6.193734,6.193734, 
0.5-0.5(m/s),2.805349,2.805349, 
0.5-0.6(m/s),0.427638,0.427638, 
0.6 +,0.000000,0.000000, 
Sum, 100.000000,100.000000, 
