N.B: Wdir (wave heading TOWARDS)= N=0deg E=270 deg S= 180 deg W=90deg 
Data from hindcast set 1/1/1990 00:00 to 12/31/2015 24:00, from Effiage 
Location: Lat 42.86389n, Lon 3.282501w, Depth 200m, Hub-Height 100m 
Table lists percentages 

OrcaFlex (TOWARDS, +CCW) Wave Heading:  -150 to -120 deg
foo,0.0-0.5 (m),0.5-1.0 (m),1.0-1.5 (m),1.5-2.0 (m),2.0-2.5 (m),2.5-3.0 (m),3.0-3.5 (m),3.5-4.0 (m),4.0-4.5 (m),4.5-5.0 (m),5.0-5.5 (m),5.5-6.0 (m),6 +,Sum,
9-10 (s),0.521507,0.076143,0.225555,0.206879,0.116369,0.198259,0.182456,0.087636,0.028733,0.008620,0.002873,0.000000,0.000000,1.655030, 
10-11 (s),0.278712,0.053156,0.079016,0.064650,0.045973,0.044536,0.041663,0.077580,0.094819,0.040226,0.022987,0.011493,0.002873,0.857685, 
11-12 (s),0.048846,0.025860,0.010057,0.008620,0.002873,0.004310,0.007183,0.010057,0.011493,0.015803,0.007183,0.007183,0.004310,0.163779, 
12-13 (s),0.011493,0.008620,0.000000,0.000000,0.001437,0.000000,0.004310,0.005747,0.001437,0.002873,0.007183,0.000000,0.010057,0.053156, 
13-14 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
14-15 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
15 +,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
Sum, 6.781025,5.046979,2.916415,1.642100,0.844755,0.587593,0.333305,0.198259,0.140792,0.067523,0.040226,0.018677,0.017240,18.634888, 

OrcaFlex (TOWARDS, +CCW) Wave Heading:  90 to 120 deg
foo,0.0-0.5 (m),0.5-1.0 (m),1.0-1.5 (m),1.5-2.0 (m),2.0-2.5 (m),2.5-3.0 (m),3.0-3.5 (m),3.5-4.0 (m),4.0-4.5 (m),4.5-5.0 (m),5.0-5.5 (m),5.5-6.0 (m),6 +,Sum,
0-1 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
1-2 (s),0.025860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025860, 
2-3 (s),0.288768,0.004310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.293078, 
3-4 (s),0.604833,0.103439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.708272, 
4-5 (s),0.133609,0.422377,0.011493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.567480, 
